,name,main_artist,release_date,duration_ms,popularity,explicit,album_type,track_id,main_artist_id,genre,list_country,ranking
1199,EL AMOR DE SU VIDA,Grupo Frontera,2023-08-25,165848,91,False,album,0O3U5iwTbiXCREMkvotJuN,6XkjpgcEsYab502Vr1bBeW,musica chihuahuense,ecuador,50
1200,Stick Season,Noah Kahan,2022-10-14,182346,98,False,album,0mflMxspEfB0VbI1kyLiAv,2RQXRUsr4IW1f3mKyKsy4B,pov: indie,ireland,1
1201,TEXAS HOLD 'EM,Beyoncé,2024-02-10,235636,0,True,single,7AYmToZ5y67fBjq4RLFbuq,6vWDO969PvNqNYHIOW5v0m,pop,ireland,2
1202,Beautiful Things,Benson Boone,2024-01-18,180304,97,False,single,6tNQ70jh4OwmPGpYy6R2o9,22wbnEMDvgVIAGdFeek6ET,singer-songwriter pop,ireland,3
1203,Murder On The Dancefloor,Sophie Ellis-Bextor,2002-06-06,230013,94,False,album,4tKGFmENO69tZR9ahgZu48,2cBh5lVMg222FFuRU7EfDE,dance pop,ireland,4
1204,Lose Control,Teddy Swims,2023-09-15,210688,93,False,album,17phhZDn6oGtzMe56NuWvj,33qOK5uJ8AR2xuQQAhHump,,ireland,5
1205,Prada,cassö,2023-08-11,132359,94,True,single,59NraMJsLaMCVtwXTSia8i,5wCmhq5J2hPwL2r0eKurxn,hypertechno,ireland,6
1206,Unwritten,Natasha Bedingfield,2004-08-30,259333,93,False,album,3U5JVgI2x4rDyHGObzJfNf,7o95ZoZt5ZYn31e9z1Hc0a,dance pop,ireland,7
1207,greedy,Tate McRae,2023-09-15,131872,100,True,single,3rUGC1vUpkDG9CZFHMur1t,45dkTj5sMRSjrmBSBeiHym,alt z,ireland,8
1208,Lovin On Me,Jack Harlow,2023-11-10,138411,99,True,single,4xhsWYTOGcal8zt0J161CU,2LIk90788K0zvyj2JJVwkJ,deep underground hip hop,ireland,9
1209,Scared To Start,Michael Marcagi,2024-01-12,159636,88,False,single,3Pbp7cUCx4d3OAkZSCoNvn,4j96cMcT8GRi11qbvo1cLQ,,ireland,10
1210,CARNIVAL,¥$,2024-02-09,264324,33,True,album,3w0w2T288dec0mgeZZqoNN,4xPQFgDA5M2xa0ZGo5iIsv,,ireland,11
1211,Cruel Summer,Taylor Swift,2019-08-23,178426,99,False,album,1BxfuPKGuaTgP7aM0Bbdwr,06HL4z0CvFAxyc27GXpf02,pop,ireland,12
1212,I Remember Everything (feat. Kacey Musgraves),Zach Bryan,2023-08-25,227195,94,False,album,4KULAymBBJcPRpk1yO4dOG,40ZNYROS4zLfyyBSs2PGe2,classic oklahoma country,ireland,13
1213,Praise Jah In The Moonlight,YG Marley,2023-12-27,263040,92,True,single,3h5TiWTqGxjSjFrbruPFH9,0n4Fao9kbjgM76RmVlfSwr,,ireland,14
1214,Houdini,Dua Lipa,2023-11-09,185917,95,False,single,4OMJGnvZfDvsePyCwRGO7X,6M2wZ9GZgrQXHCFfjv46we,dance pop,ireland,15
1215,Birds In The Sky,NewEra,2023-12-08,133548,69,False,single,50SxWFCvmZCYcpKWPZECES,4QLa9DWZEpFrBhNG5UWXF1,,ireland,16
1216,"yes, and?",Ariana Grande,2024-01-12,214994,97,True,single,7gaA3wERFkFkgivjwbSvkG,66CXWjxzNUsdJxJ2JdwvnR,pop,ireland,17
1217,Something in the Orange,Zach Bryan,2022-04-22,228013,91,False,single,3WMj8moIAXJhHsyLaqIIHI,40ZNYROS4zLfyyBSs2PGe2,classic oklahoma country,ireland,18
1218,Homesick (with Sam Fender),Noah Kahan,2024-01-19,194416,84,True,single,2l7UudWZ44l1WbHx6ANod9,2RQXRUsr4IW1f3mKyKsy4B,pov: indie,ireland,19
1219,Strangers,Kenya Grace,2023-09-01,172964,96,False,single,5mjYQaktjmjcMKcUIcqz4s,7uMDnSZyUYNBPLhPMNuaM2,singer-songwriter pop,ireland,20
1220,Flowers,Miley Cyrus,2023-08-18,200600,95,False,album,7DSAEUvxU8FajXtRloy8M0,5YGY8feqx7naU7z4HrwZM6,pop,ireland,21
1221,Riptide,Vance Joy,2014-09-09,204280,86,False,album,3JvrhDOgAt6p7K8mDyZwRd,10exVja0key0uqUkk6LJRT,folk-pop,ireland,22
